id,title,html_url,mobile_url,description,quiz_type,time_limit,shuffle_answers,show_correct_answers,scoring_policy,allowed_attempts,one_question_at_a_time,question_count,points_possible,cant_go_back,access_code,ip_filter,due_at,lock_at,unlock_at,published,unpublishable,locked_for_user,lock_info,lock_explanation,hide_results,show_correct_answers_at,hide_correct_answers_at,all_dates,can_unpublish,can_update,require_lockdown_browser,require_lockdown_browser_for_results,require_lockdown_browser_monitor,lockdown_browser_monitor_data,permissions,quiz_reports_url,quiz_statistics_url,quiz_submission_versions_html_url,assignment_id,one_time_results,assignment_group_id,show_correct_answers_last_attempt,version_number,has_access_code,post_to_sis,migration_id
66781,Add Student Data Multiple Choice,https://byui.instructure.com/courses/80/quizzes/66781,https://byui.instructure.com/courses/80/quizzes/66781?force_user=1&persist_headless=1,"<div id=""bannerOut2"" class=""byui"">
<h2 class=""activity preAssessment"">Pre-Assessment</h2>
</div>
<div id=""orgTemplateOut"">
<div class=""byui joshua"">
<h2>Overview</h2>
<p>In this activity, you will <span class=""todo"">[specify <strong>deliverable/action to be taken] </strong> </span> <strong>in </strong> <span class=""todo""> <strong>[time period,</strong> if any]</span>. You must <span class=""todo"">[action to be taken]</span> for <span class=""todo"">[indicate the audience]</span> that <span class=""todo"">[purpose of activity]</span>. Your instructor will <span class=""todo"">[indicate instructor's role in this activity]</span>.</p>
<h2>Instructions</h2>
<p>To successfully complete the <span class=""todo"">[Name of Activity]</span>, carefully follow these <span class=""todo"">[criteria/steps]</span>:</p>
<ol>
<li><span class=""todo"">[Any prescribed method or process for completing activity?]</span></li>
<li><span class=""todo"">[Any tool requirements? If any, indicate tutorials or other helpful resources.]</span></li>
<li><span class=""todo"">[Any demonstration of mastery for specific topics or competencies?]</span></li>
<li><span class=""todo"">[Any submission/formatting requirements?]</span></li>
</ol>
<h2>Grading Rubric</h2>
<p><span class=""todo"">(You may also combine this with the submission or other requirements specified above)</span></p>
<p>You will be graded using the criteria below <span class=""todo"">[include criteria and levels]</span>.</p>
</div>
</div>",assignment,,False,True,keep_highest,1,False,2,2,False,,,,,,True,False,True,"{
  ""missing_permission"": ""participate_as_student"",
  ""asset_string"": ""quizzes:quiz_66781""
}",This quiz is currently locked.,,,,"[
  {
    ""due_at"": null,
    ""unlock_at"": null,
    ""lock_at"": null,
    ""base"": true
  }
]",False,True,False,False,False,,"{
  ""read_statistics"": true,
  ""manage"": true,
  ""read"": true,
  ""update"": true,
  ""create"": true,
  ""submit"": true,
  ""preview"": true,
  ""delete"": true,
  ""grade"": false,
  ""review_grades"": true,
  ""view_answer_audits"": true
}",https://byui.instructure.com/api/v1/courses/80/quizzes/66781/reports,https://byui.instructure.com/api/v1/courses/80/quizzes/66781/statistics,https://byui.instructure.com/courses/80/quizzes/66781/submission_versions,115688,False,21923,False,5,False,False,if4b2b46dc713d976a8c82f09a15b2acb
109767,alsdkjf,https://byui.instructure.com/courses/80/quizzes/109767,https://byui.instructure.com/courses/80/quizzes/109767?force_user=1&persist_headless=1,,assignment,,False,True,keep_highest,1,False,0,0,False,,,,,,False,True,True,"{
  ""missing_permission"": ""participate_as_student"",
  ""asset_string"": ""quizzes:quiz_109767""
}",This quiz is currently locked.,,,,"[
  {
    ""due_at"": null,
    ""unlock_at"": null,
    ""lock_at"": null,
    ""base"": true
  }
]",True,True,False,False,False,,"{
  ""read_statistics"": true,
  ""manage"": true,
  ""read"": true,
  ""update"": true,
  ""create"": true,
  ""submit"": true,
  ""preview"": true,
  ""delete"": true,
  ""grade"": false,
  ""review_grades"": true,
  ""view_answer_audits"": true
}",https://byui.instructure.com/api/v1/courses/80/quizzes/109767/reports,https://byui.instructure.com/api/v1/courses/80/quizzes/109767/statistics,https://byui.instructure.com/courses/80/quizzes/109767/submission_versions,,False,,False,1,False,,
130558,asdfUnnamed Quiz2,https://byui.instructure.com/courses/80/quizzes/130558,https://byui.instructure.com/courses/80/quizzes/130558?force_user=1&persist_headless=1,<p>2</p>,assignment,,False,True,keep_highest,1,False,1,1,False,,,,,,True,True,True,"{
  ""missing_permission"": ""participate_as_student"",
  ""asset_string"": ""quizzes:quiz_130558""
}",This quiz is currently locked.,,,,"[
  {
    ""due_at"": null,
    ""unlock_at"": null,
    ""lock_at"": null,
    ""base"": true
  }
]",True,True,False,False,False,,"{
  ""read_statistics"": true,
  ""manage"": true,
  ""read"": true,
  ""update"": true,
  ""create"": true,
  ""submit"": true,
  ""preview"": true,
  ""delete"": true,
  ""grade"": false,
  ""review_grades"": true,
  ""view_answer_audits"": true
}",https://byui.instructure.com/api/v1/courses/80/quizzes/130558/reports,https://byui.instructure.com/api/v1/courses/80/quizzes/130558/statistics,https://byui.instructure.com/courses/80/quizzes/130558/submission_versions,224282,False,552,False,3,False,False,
56768,Example Quiz 1 (Multiple Choice),https://byui.instructure.com/courses/80/quizzes/56768,https://byui.instructure.com/courses/80/quizzes/56768?force_user=1&persist_headless=1,,assignment,,False,True,keep_latest,500,False,4,4,False,,,,,,True,False,True,"{
  ""missing_permission"": ""participate_as_student"",
  ""asset_string"": ""quizzes:quiz_56768""
}",This quiz is currently locked.,,,,"[
  {
    ""due_at"": null,
    ""unlock_at"": null,
    ""lock_at"": null,
    ""base"": true
  }
]",False,True,False,False,False,,"{
  ""read_statistics"": true,
  ""manage"": true,
  ""read"": true,
  ""update"": true,
  ""create"": true,
  ""submit"": true,
  ""preview"": true,
  ""delete"": true,
  ""grade"": false,
  ""review_grades"": true,
  ""view_answer_audits"": true
}",https://byui.instructure.com/api/v1/courses/80/quizzes/56768/reports,https://byui.instructure.com/api/v1/courses/80/quizzes/56768/statistics,https://byui.instructure.com/courses/80/quizzes/56768/submission_versions,95136,False,552,False,5,False,False,i8543fd9fbc97d69a4224cef1dee69b62
240641,Example Quiz 1 (Multiple Choice) to migrage 5674374,https://byui.instructure.com/courses/80/quizzes/240641,https://byui.instructure.com/courses/80/quizzes/240641?force_user=1&persist_headless=1,,assignment,,False,True,keep_latest,500,False,4,4,False,,,,,,True,True,True,"{
  ""missing_permission"": ""participate_as_student"",
  ""asset_string"": ""quizzes:quiz_240641""
}",This quiz is currently locked.,,,,"[
  {
    ""due_at"": null,
    ""unlock_at"": null,
    ""lock_at"": null,
    ""base"": true
  }
]",True,True,False,False,False,,"{
  ""read_statistics"": true,
  ""manage"": true,
  ""read"": true,
  ""update"": true,
  ""create"": true,
  ""submit"": true,
  ""preview"": true,
  ""delete"": true,
  ""grade"": false,
  ""review_grades"": true,
  ""view_answer_audits"": true
}",https://byui.instructure.com/api/v1/courses/80/quizzes/240641/reports,https://byui.instructure.com/api/v1/courses/80/quizzes/240641/statistics,https://byui.instructure.com/courses/80/quizzes/240641/submission_versions,470873,False,21923,False,5,False,False,i4f95dd9075927c24db2fb7147004b897
56769,Example Quiz 2 (Written Response),https://byui.instructure.com/courses/80/quizzes/56769,https://byui.instructure.com/courses/80/quizzes/56769?force_user=1&persist_headless=1,<p>Please write your thoughts and feeling about the recent Star Wars movie.</p>,assignment,,False,True,keep_highest,-1,False,2,2,False,,,,,,True,False,True,"{
  ""missing_permission"": ""participate_as_student"",
  ""asset_string"": ""quizzes:quiz_56769""
}",This quiz is currently locked.,,,,"[
  {
    ""due_at"": null,
    ""unlock_at"": null,
    ""lock_at"": null,
    ""base"": true
  }
]",False,True,False,False,False,,"{
  ""read_statistics"": true,
  ""manage"": true,
  ""read"": true,
  ""update"": true,
  ""create"": true,
  ""submit"": true,
  ""preview"": true,
  ""delete"": true,
  ""grade"": false,
  ""review_grades"": true,
  ""view_answer_audits"": true
}",https://byui.instructure.com/api/v1/courses/80/quizzes/56769/reports,https://byui.instructure.com/api/v1/courses/80/quizzes/56769/statistics,https://byui.instructure.com/courses/80/quizzes/56769/submission_versions,95137,False,552,False,4,False,False,ib48b7321778ea546afef88464614822f
10492,QTI export,https://byui.instructure.com/courses/80/quizzes/10492,https://byui.instructure.com/courses/80/quizzes/10492?force_user=1&persist_headless=1,,assignment,,False,True,keep_highest,1,False,1,1,False,,,,,,False,True,True,"{
  ""missing_permission"": ""participate_as_student"",
  ""asset_string"": ""quizzes:quiz_10492""
}",This quiz is currently locked.,,,,"[
  {
    ""due_at"": null,
    ""unlock_at"": null,
    ""lock_at"": null,
    ""base"": true
  }
]",True,True,False,False,False,,"{
  ""read_statistics"": true,
  ""manage"": true,
  ""read"": true,
  ""update"": true,
  ""create"": true,
  ""submit"": true,
  ""preview"": true,
  ""delete"": true,
  ""grade"": false,
  ""review_grades"": true,
  ""view_answer_audits"": true
}",https://byui.instructure.com/api/v1/courses/80/quizzes/10492/reports,https://byui.instructure.com/api/v1/courses/80/quizzes/10492/statistics,https://byui.instructure.com/courses/80/quizzes/10492/submission_versions,22198,False,552,False,2,False,False,
50536,Quiz Practice Data,https://byui.instructure.com/courses/80/quizzes/50536,https://byui.instructure.com/courses/80/quizzes/50536?force_user=1&persist_headless=1,,assignment,,False,True,keep_highest,-1,False,3,3,False,,,,,,True,False,True,"{
  ""missing_permission"": ""participate_as_student"",
  ""asset_string"": ""quizzes:quiz_50536""
}",This quiz is currently locked.,,,,"[
  {
    ""due_at"": null,
    ""unlock_at"": null,
    ""lock_at"": null,
    ""base"": true
  }
]",False,True,False,False,False,,"{
  ""read_statistics"": true,
  ""manage"": true,
  ""read"": true,
  ""update"": true,
  ""create"": true,
  ""submit"": true,
  ""preview"": true,
  ""delete"": true,
  ""grade"": false,
  ""review_grades"": true,
  ""view_answer_audits"": true
}",https://byui.instructure.com/api/v1/courses/80/quizzes/50536/reports,https://byui.instructure.com/api/v1/courses/80/quizzes/50536/statistics,https://byui.instructure.com/courses/80/quizzes/50536/submission_versions,85878,False,552,False,6,False,False,
151503,quiz test find questions,https://byui.instructure.com/courses/80/quizzes/151503,https://byui.instructure.com/courses/80/quizzes/151503?force_user=1&persist_headless=1,,assignment,,False,True,keep_highest,1,False,4,4,False,,,,,,True,True,True,"{
  ""missing_permission"": ""participate_as_student"",
  ""asset_string"": ""quizzes:quiz_151503""
}",This quiz is currently locked.,,,,"[
  {
    ""due_at"": null,
    ""unlock_at"": null,
    ""lock_at"": null,
    ""base"": true
  }
]",True,True,False,False,False,,"{
  ""read_statistics"": true,
  ""manage"": true,
  ""read"": true,
  ""update"": true,
  ""create"": true,
  ""submit"": true,
  ""preview"": true,
  ""delete"": true,
  ""grade"": false,
  ""review_grades"": true,
  ""view_answer_audits"": true
}",https://byui.instructure.com/api/v1/courses/80/quizzes/151503/reports,https://byui.instructure.com/api/v1/courses/80/quizzes/151503/statistics,https://byui.instructure.com/courses/80/quizzes/151503/submission_versions,260256,False,552,False,3,False,False,
608375,Quiz with Matching,https://byui.instructure.com/courses/80/quizzes/608375,https://byui.instructure.com/courses/80/quizzes/608375?force_user=1&persist_headless=1,,assignment,,False,True,keep_highest,1,False,1,1,False,,,,,,True,True,True,"{
  ""missing_permission"": ""participate_as_student"",
  ""asset_string"": ""quizzes:quiz_608375""
}",This quiz is currently locked.,,,,"[
  {
    ""due_at"": null,
    ""unlock_at"": null,
    ""lock_at"": null,
    ""base"": true
  }
]",True,True,False,False,False,,"{
  ""read_statistics"": true,
  ""manage"": true,
  ""read"": true,
  ""update"": true,
  ""create"": true,
  ""submit"": true,
  ""preview"": true,
  ""delete"": true,
  ""grade"": false,
  ""review_grades"": true,
  ""view_answer_audits"": true
}",https://byui.instructure.com/api/v1/courses/80/quizzes/608375/reports,https://byui.instructure.com/api/v1/courses/80/quizzes/608375/statistics,https://byui.instructure.com/courses/80/quizzes/608375/submission_versions,1371783,False,552,False,21,False,False,
